sep=,
station_id,local_date,local_time,temperatuur,dauwpunt,luchtdruk_station,luchtdruk_zee,zichtbaarheid,neerslag,sneeuwdiepte,bewolking,windrichting,windsnelheid,gebeurtenissen
164800,2015-10-11,21:35:46,17.5,13.1,1013.4,1017.9,12.7,0.20,0.0,51.1,203,4.0,010000
723190,2015-10-11,21:35:46,10.4,5.1,1003.5,1029.7,6.3,0.00,0.0,75.4,257,18.7,000000
601850,2015-10-11,21:35:46,15.8,11.1,1007.4,1016.7,22.8,0.01,0.0,50.8,266,8.5,010000
617010,2015-10-11,21:35:46,16.2,10.8,1009.5,1013.9,14.2,0.00,0.0,85.1,49,13.5,000000
723193,2015-10-11,21:35:46,8.3,4.1,1004.7,1011.8,14.9,0.72,0.8,52.7,57,5.3,011000
723194,2015-10-11,21:35:46,9.2,4.9,997.5,1017.9,6.2,0.87,0.0,51.0,147,8.2,010000
723143,2015-10-11,21:35:46,10.8,-1.1,1011.2,1043.8,16.3,0.00,0.0,66.3,359,12.5,000000
912210,2015-10-11,21:35:46,24.1,20.1,1001.3,1002.5,10.5,0.00,0.0,71.2,267,22.6,000000
723140,2015-10-11,21:35:46,7.8,2.1,993.2,1018.5,21.0,0.99,0.1,53.3,40,9.7,011000
723139,2015-10-11,21:35:46,12.0,8.4,1016.1,1016.8,10.8,0.33,0.0,52.3,9,20.5,010000
477641,2015-10-11,21:35:46,15.5,11.2,1023.2,1019.0,13.3,0.00,0.0,32.9,92,10.1,000000
726115,2015-10-11,21:35:46,5.6,0.3,992.4,1005.1,21.3,0.00,0.0,1.7,281,5.8,000000
29720,2015-10-11,21:35:46,3.5,0.8,1013.6,1010.2,12.3,0.20,0.1,53.3,244,8.3,011000
726114,2015-10-11,21:35:46,8.4,4.7,1018.3,1020.7,10.3,0.18,0.0,75.5,112,6.1,010000
276480,2015-10-11,21:35:46,2.1,-1.2,1002.4,1014.7,5.4,0.10,0.0,50.9,47,2.9,010000
247960,2015-10-11,21:35:46,-19.5,-23.4,999.9,1026.1,39.0,0.09,0.0,50.9,15,8.8,110000
74710,2015-10-11,21:35:46,6.4,3.5,932.0,932.6,19.9,0.48,0.4,53.7,266,1.7,011000
126700,2015-10-11,21:35:46,8.7,7.9,993.5,1033.3,10.2,0.00,0.0,95.1,285,5.6,000000
532760,2015-10-11,21:35:46,0.4,-13.7,919.4,1023.3,31.8,0.03,0.0,54.3,222,21.1,010000
29800,2015-10-11,21:35:46,6.4,4.1,1013.7,1006.9,15.3,0.22,0.0,50.8,184,30.1,010000
548360,2015-10-11,21:35:46,9.2,3.3,1021.0,1021.9,22.0,0.19,0.0,95.8,292,10.2,010000
102910,2015-10-11,21:35:46,4.6,1.9,1019.3,1017.1,16.9,0.30,0.0,50.7,79,6.3,010000
173300,2015-10-11,21:35:46,15.9,3.8,1012.3,1014.1,23.1,0.03,0.0,52.3,4,10.6,010000
228020,2015-10-11,21:35:46,2.3,-0.1,1011.9,1009.2,22.6,0.47,0.0,69.3,234,1.7,010000
71800,2015-10-11,21:35:46,7.4,4.2,1008.5,1016.5,12.4,0.70,0.0,91.3,125,7.5,010000
981350,2015-10-11,21:35:46,24.0,20.8,1012.9,1011.8,27.6,0.26,0.0,74.7,29,15.0,010000
315100,2015-10-11,21:35:46,-3.2,-12.8,1008.5,1016.3,19.3,0.10,0.0,66.4,135,19.8,110000
227980,2015-10-11,21:35:46,-0.2,-2.6,996.9,1008.7,30.8,0.09,0.0,73.3,339,6.9,110000
33480,2015-10-11,21:35:46,1.6,-3.3,1012.4,1023.1,35.4,0.00,0.0,44.4,328,15.1,000000
523230,2015-10-11,21:35:46,-1.9,-16.7,823.6,823.5,31.7,0.02,0.0,52.8,221,14.0,110000
471850,2015-10-11,21:35:46,16.7,11.1,1010.8,1017.5,17.4,0.13,0.0,91.5,82,21.6,010000
367780,2015-10-11,21:35:46,1.4,-7.6,1003.9,1022.7,50.1,0.00,0.0,28.4,65,2.8,000000
172400,2015-10-11,21:35:46,6.7,-1.3,952.6,1016.0,28.8,0.03,0.0,50.3,24,11.2,010000
700637,2015-10-11,21:35:46,-4.3,-6.1,999.0,993.7,11.7,0.00,0.0,10.0,271,20.1,100000
532310,2015-10-11,21:35:46,0.3,-15.3,853.7,853.3,26.7,0.01,0.0,83.1,287,9.3,010000
700634,2015-10-11,21:35:46,-3.8,-5.0,1002.6,1005.0,10.6,0.00,0.0,8.5,332,26.7,100000
348660,2015-10-11,21:35:46,4.5,-2.5,1022.4,1017.6,19.1,0.04,0.0,52.7,44,2.3,010000
982220,2015-10-11,21:35:46,22.4,18.4,1016.0,1011.4,22.2,0.00,0.0,89.9,316,5.3,000000
279280,2015-10-11,21:35:46,3.8,0.6,1005.6,1018.7,3.1,0.05,0.0,53.7,192,14.8,010000
947530,2015-10-11,21:35:46,10.7,-0.2,null,1001.7,15.6,0.00,0.0,88.5,342,23.7,000000
